dest_ip,dest_port,metadata_comment
23.227.39.166,80,proxylist.txt
66.235.200.212,80,proxylist.txt
142.54.226.214,4145,proxylist.txt
188.114.96.31,80,proxylist.txt
172.67.196.142,80,proxylist.txt
172.67.75.199,80,proxylist.txt
172.67.180.2,80,proxylist.txt
172.67.182.157,80,proxylist.txt
172.237.73.24,80,proxylist.txt
184.185.2.12,4145,proxylist.txt
5.255.113.177,1080,proxylist.txt
193.233.254.7,1080,proxylist.txt
193.233.254.8,1080,proxylist.txt
125.228.143.207,4145,proxylist.txt
159.203.61.169,1080,proxylist.txt
174.138.61.184,1080,proxylist.txt
37.18.73.60,5566,proxylist.txt
8.213.151.128,3128,proxylist.txt
172.67.180.88,80,proxylist.txt
172.67.89.218,80,proxylist.txt
172.67.237.253,80,proxylist.txt
141.101.121.60,80,proxylist.txt
172.67.179.198,80,proxylist.txt
141.101.113.130,80,proxylist.txt
213.73.25.230,8080,proxylist.txt
143.42.66.91,80,proxylist.txt
4.213.167.178,80,proxylist.txt
141.101.115.28,80,proxylist.txt
12.50.107.222,80,proxylist.txt
188.245.218.56,80,proxylist.txt
35.241.172.224,80,proxylist.txt
212.127.95.235,8081,proxylist.txt
141.101.122.182,80,proxylist.txt
141.101.121.97,80,proxylist.txt
141.101.120.197,80,proxylist.txt
172.67.182.141,80,proxylist.txt
172.67.222.163,80,proxylist.txt
84.39.112.144,3128,proxylist.txt
23.227.39.203,80,proxylist.txt
159.112.235.53,80,proxylist.txt
172.67.181.163,80,proxylist.txt
173.245.49.14,80,proxylist.txt
108.162.193.198,80,proxylist.txt
203.189.151.19,1080,proxylist.txt
45.59.186.60,80,proxylist.txt
172.67.249.129,80,proxylist.txt
52.188.28.218,3128,proxylist.txt
172.64.78.163,80,proxylist.txt
172.64.32.158,80,proxylist.txt
154.16.146.41,80,proxylist.txt
172.67.161.209,80,proxylist.txt
199.102.107.145,4145,proxylist.txt
172.64.149.76,80,proxylist.txt
141.101.123.191,80,proxylist.txt
172.64.145.92,80,proxylist.txt
172.67.182.7,80,proxylist.txt
184.178.172.14,4145,proxylist.txt
184.178.172.28,15294,proxylist.txt
54.201.87.119,80,proxylist.txt
192.111.135.18,18301,proxylist.txt
141.101.115.187,80,proxylist.txt
188.114.96.114,80,proxylist.txt
172.67.150.166,80,proxylist.txt
188.114.96.18,80,proxylist.txt
172.67.179.181,80,proxylist.txt
45.12.31.164,80,proxylist.txt
173.245.59.116,80,proxylist.txt
91.193.58.1,80,proxylist.txt
172.67.134.212,80,proxylist.txt
183.215.23.242,9091,proxylist.txt
221.231.13.198,1080,proxylist.txt
116.171.106.15,3000,proxylist.txt
8.35.211.28,80,proxylist.txt
172.67.232.58,80,proxylist.txt
107.152.98.5,4145,proxylist.txt
141.101.123.117,80,proxylist.txt
172.67.209.253,80,proxylist.txt
172.67.181.140,80,proxylist.txt
172.67.181.25,80,proxylist.txt
172.67.156.107,80,proxylist.txt
31.220.78.244,80,proxylist.txt
172.64.149.39,80,proxylist.txt
154.17.224.118,80,proxylist.txt
72.223.188.67,4145,proxylist.txt
170.130.40.150,10526,proxylist.txt
184.178.172.23,4145,proxylist.txt
102.223.9.53,80,proxylist.txt
36.138.53.26,10019,proxylist.txt
108.162.193.137,80,proxylist.txt
141.101.114.225,80,proxylist.txt
172.66.46.225,80,proxylist.txt
188.114.99.131,80,proxylist.txt
66.235.200.174,80,proxylist.txt
172.67.70.149,80,proxylist.txt
172.67.204.158,80,proxylist.txt
172.67.221.193,80,proxylist.txt
