dest_ip,metadata_comment
79.177.40.0/21,AS8551 IPv4
2001:4cd0:aa0c::/47,AS8551 IPv6
2a10:8000:2000::/37,AS8551 IPv6
79.179.182.0/24,AS8551 IPv4
31.168.176.0/20,AS8551 IPv4
79.181.192.0/19,AS8551 IPv4
82.80.192.0/20,AS8551 IPv4
79.178.185.0/24,AS8551 IPv4
2a10:8002:1000::/37,AS8551 IPv6
2a10:8000:3800::/37,AS8551 IPv6
2a10:8002:a800::/37,AS8551 IPv6
62.219.96.0/24,AS8551 IPv4
79.178.146.0/24,AS8551 IPv4
109.67.72.0/22,AS8551 IPv4
2a10:8000:b000::/37,AS8551 IPv6
23.195.8.0/22,AS8551 IPv4
81.218.192.0/20,AS8551 IPv4
2a10:8000:f800::/37,AS8551 IPv6
82.80.14.0/24,AS8551 IPv4
79.177.96.0/20,AS8551 IPv4
79.179.150.0/24,AS8551 IPv4
79.179.72.0/24,AS8551 IPv4
79.179.76.0/22,AS8551 IPv4
212.179.0.0/16,AS8551 IPv4
79.178.24.0/24,AS8551 IPv4
84.108.192.0/20,AS8551 IPv4
62.219.54.0/24,AS8551 IPv4
79.178.165.0/24,AS8551 IPv4
79.178.201.0/24,AS8551 IPv4
2a10:8001:d000::/37,AS8551 IPv6
79.179.147.0/24,AS8551 IPv4
81.218.224.0/19,AS8551 IPv4
79.178.166.0/24,AS8551 IPv4
79.178.160.0/24,AS8551 IPv4
79.178.43.0/24,AS8551 IPv4
79.179.192.0/20,AS8551 IPv4
79.181.96.0/20,AS8551 IPv4
79.181.144.0/20,AS8551 IPv4
79.178.58.0/24,AS8551 IPv4
84.109.0.0/20,AS8551 IPv4
79.178.38.0/24,AS8551 IPv4
79.178.196.0/23,AS8551 IPv4
79.179.18.0/24,AS8551 IPv4
79.178.15.0/24,AS8551 IPv4
79.179.22.0/24,AS8551 IPv4
84.109.60.0/22,AS8551 IPv4
84.111.0.0/20,AS8551 IPv4
79.178.20.0/24,AS8551 IPv4
82.81.32.0/20,AS8551 IPv4
31.168.248.0/23,AS8551 IPv4
79.178.184.0/24,AS8551 IPv4
84.111.112.0/20,AS8551 IPv4
62.219.78.0/24,AS8551 IPv4
79.179.59.0/24,AS8551 IPv4
62.219.0.0/19,AS8551 IPv4
81.218.160.0/20,AS8551 IPv4
62.219.93.0/24,AS8551 IPv4
79.178.4.0/24,AS8551 IPv4
79.181.112.0/20,AS8551 IPv4
82.80.112.0/20,AS8551 IPv4
2a10:8002:e000::/37,AS8551 IPv6
2001:4cd0:ac40::/42,AS8551 IPv6
79.179.48.0/20,AS8551 IPv4
62.219.96.0/20,AS8551 IPv4
79.181.0.0/19,AS8551 IPv4
82.81.176.0/20,AS8551 IPv4
192.114.74.0/24,AS8551 IPv4
84.108.88.0/22,AS8551 IPv4
79.179.136.0/21,AS8551 IPv4
79.178.67.0/24,AS8551 IPv4
2a10:8002:3000::/37,AS8551 IPv6
79.179.5.0/24,AS8551 IPv4
79.178.59.0/24,AS8551 IPv4
79.179.28.0/24,AS8551 IPv4
79.179.180.0/24,AS8551 IPv4
84.111.80.0/21,AS8551 IPv4
79.177.32.0/20,AS8551 IPv4
79.178.2.0/24,AS8551 IPv4
79.179.49.0/24,AS8551 IPv4
2a10:8000:5000::/37,AS8551 IPv6
79.179.154.0/24,AS8551 IPv4
2a10:8003:7000::/37,AS8551 IPv6
79.181.72.0/22,AS8551 IPv4
212.25.96.0/19,AS8551 IPv4
2a10:8000:6000::/37,AS8551 IPv6
2a10:8001:b000::/37,AS8551 IPv6
82.81.48.0/20,AS8551 IPv4
79.178.145.0/24,AS8551 IPv4
212.179.9.0/24,AS8551 IPv4
79.178.53.0/24,AS8551 IPv4
62.219.64.0/19,AS8551 IPv4
84.109.176.0/20,AS8551 IPv4
79.178.130.0/24,AS8551 IPv4
79.179.10.0/24,AS8551 IPv4
79.178.32.0/24,AS8551 IPv4
82.81.64.0/20,AS8551 IPv4
2a10:8000:8000::/37,AS8551 IPv6
79.177.32.0/21,AS8551 IPv4
79.179.45.0/24,AS8551 IPv4
82.80.0.0/15,AS8551 IPv4
84.108.14.0/23,AS8551 IPv4
84.109.80.0/20,AS8551 IPv4
79.179.132.0/24,AS8551 IPv4
84.108.64.0/20,AS8551 IPv4
84.108.208.0/20,AS8551 IPv4
212.179.100.0/24,AS8551 IPv4
79.178.63.0/24,AS8551 IPv4
79.179.4.0/24,AS8551 IPv4
31.168.96.0/20,AS8551 IPv4
212.179.56.0/24,AS8551 IPv4
62.219.20.0/24,AS8551 IPv4
79.179.0.0/24,AS8551 IPv4
79.178.47.0/24,AS8551 IPv4
79.178.137.0/24,AS8551 IPv4
79.181.64.0/21,AS8551 IPv4
84.108.64.0/23,AS8551 IPv4
79.181.218.0/24,AS8551 IPv4
79.178.18.0/24,AS8551 IPv4
79.179.63.0/24,AS8551 IPv4
79.179.96.0/20,AS8551 IPv4
84.111.3.0/24,AS8551 IPv4
79.178.179.0/24,AS8551 IPv4
79.178.189.0/24,AS8551 IPv4
84.108.80.0/20,AS8551 IPv4
82.80.224.0/20,AS8551 IPv4
84.110.128.0/20,AS8551 IPv4
79.179.16.0/20,AS8551 IPv4
84.109.144.0/20,AS8551 IPv4
82.80.0.0/24,AS8551 IPv4
212.179.114.0/24,AS8551 IPv4
79.179.193.0/24,AS8551 IPv4
82.81.68.0/22,AS8551 IPv4
84.108.240.0/20,AS8551 IPv4
84.111.96.0/22,AS8551 IPv4
79.179.137.0/24,AS8551 IPv4
79.179.31.0/24,AS8551 IPv4
79.179.72.0/22,AS8551 IPv4
84.108.6.0/23,AS8551 IPv4
79.181.80.0/23,AS8551 IPv4
79.178.40.0/24,AS8551 IPv4
84.109.74.0/23,AS8551 IPv4
81.218.218.0/24,AS8551 IPv4
79.179.155.0/24,AS8551 IPv4
84.111.64.0/22,AS8551 IPv4
81.218.27.0/24,AS8551 IPv4
82.80.13.0/24,AS8551 IPv4
84.108.84.0/23,AS8551 IPv4
84.110.45.0/24,AS8551 IPv4
79.179.67.0/24,AS8551 IPv4
79.179.14.0/24,AS8551 IPv4
79.179.187.0/24,AS8551 IPv4
62.219.160.0/22,AS8551 IPv4
82.80.160.0/20,AS8551 IPv4
2a10:8003:8800::/37,AS8551 IPv6
79.179.151.0/24,AS8551 IPv4
2a10:8002:4000::/37,AS8551 IPv6
79.178.156.0/24,AS8551 IPv4
79.179.46.0/24,AS8551 IPv4
79.179.162.0/24,AS8551 IPv4
79.179.190.0/24,AS8551 IPv4
109.67.96.0/20,AS8551 IPv4
79.177.64.0/21,AS8551 IPv4
84.109.136.0/22,AS8551 IPv4
84.110.0.0/20,AS8551 IPv4
84.109.188.0/23,AS8551 IPv4
109.67.64.0/20,AS8551 IPv4
31.168.255.0/24,AS8551 IPv4
23.56.174.0/24,AS8551 IPv4
79.179.177.0/24,AS8551 IPv4
79.179.143.0/24,AS8551 IPv4
82.81.252.0/22,AS8551 IPv4
79.179.169.0/24,AS8551 IPv4
79.179.32.0/21,AS8551 IPv4
82.80.144.0/20,AS8551 IPv4
79.177.192.0/20,AS8551 IPv4
79.178.32.0/20,AS8551 IPv4
84.111.224.0/20,AS8551 IPv4
212.179.208.0/20,AS8551 IPv4
79.178.135.0/24,AS8551 IPv4
79.178.11.0/24,AS8551 IPv4
